,Event,Year,Gender,Position,Medal,Athlete,NOC,Time,Distance
528,200 metres,1952,F,2,Silver,Puck Brouwer,NED,24.2,NaN
529,200 metres,1952,F,3,Bronze,Nadezhda Khnik'ina,URS,24.2,NaN
530,Long Jump,1952,F,1,Gold,Yvette Williams,NZL,NaN,6.24
531,Long Jump,1952,F,2,Silver,Aleksandra Chudina,URS,NaN,6.14
532,Long Jump,1952,F,3,Bronze,Shirley Cawley,GBR,NaN,5.92
533,Shot Put,1952,F,1,Gold,Galina Zybina,URS,NaN,15.28
534,Shot Put,1952,F,2,Silver,Marianne Werner,GER,NaN,14.57
535,Shot Put,1952,F,3,Bronze,Klavdiya Tochonova,URS,NaN,14.50
536,Discus Throw,1952,F,1,Gold,Nina Romashkova,URS,NaN,51.42
537,Discus Throw,1952,F,2,Silver,Yelizaveta Bagryantseva,URS,NaN,47.08
538,Discus Throw,1952,F,3,Bronze,Nino Dumbadze,URS,NaN,46.29
539,Javelin Throw,1952,F,1,Gold,Dana ZÃ¡topkovÃ¡,TCH,NaN,50.47
540,Javelin Throw,1952,F,2,Silver,Aleksandra Chudina,URS,NaN,50.01
541,Javelin Throw,1952,F,3,Bronze,Yelena Gorchakova,URS,NaN,49.76
542,100 metres,1956,M,1,Gold,Bobby Joe Morrow,USA,10.5,NaN
543,100 metres,1956,M,2,Silver,Thane Baker,USA,10.5,NaN
544,100 metres,1956,M,3,Bronze,Hec Hogan,AUS,10.6,NaN
545,200 metres,1956,M,1,Gold,Bobby Joe Morrow,USA,20.6,NaN
546,200 metres,1956,M,2,Silver,Andy Stanfield,USA,20.7,NaN
547,200 metres,1956,M,3,Bronze,Thane Baker,USA,20.9,NaN
548,400 metres,1956,M,1,Gold,Charlie Jenkins,USA,46.7,NaN
549,400 metres,1956,M,2,Silver,Karl-Friedrich Haas,GER,46.8,NaN
550,400 metres,1956,M,3,Bronze,Voitto HellstÃ©n,FIN,47.0,NaN
551,400 metres,1956,M,3,Bronze,Ardalion Ignatyev,URS,47.0,NaN
552,800 metres,1956,M,1,Gold,Tom Courtney,USA,107.7,NaN
553,800 metres,1956,M,2,Silver,Derek Johnson,GBR,107.8,NaN
554,800 metres,1956,M,3,Bronze,Audun Boysen,NOR,108.1,NaN
555,"1,500 metres",1956,M,1,Gold,Ronnie Delany,IRL,221.2,NaN
556,"1,500 metres",1956,M,2,Silver,Klaus Richtzenhain,GER,222.0,NaN
557,"1,500 metres",1956,M,3,Bronze,John Landy,AUS,222.0,NaN
558,"5,000 metres",1956,M,1,Gold,Vladimir Kuts,URS,819.6,NaN
559,"5,000 metres",1956,M,2,Silver,Gordon Pirie,GBR,830.6,NaN
560,"5,000 metres",1956,M,3,Bronze,Derek Ibbotson,GBR,834.4,NaN
561,"10,000 metres",1956,M,1,Gold,Vladimir Kuts,URS,NaN,NaN
562,"10,000 metres",1956,M,2,Silver,JÃ³zsef KovÃ¡cs,HUN,NaN,NaN
563,"10,000 metres",1956,M,3,Bronze,Al Lawrence,AUS,NaN,NaN
564,Marathon,1956,M,1,Gold,Alain Mimoun,FRA,8700.0,NaN
565,Marathon,1956,M,2,Silver,Franjo MihaliÄ,YUG,8792.0,NaN
566,Marathon,1956,M,3,Bronze,Veikko Karvonen,FIN,8867.0,NaN
567,Long Jump,1956,M,1,Gold,Greg Bell,USA,NaN,7.83
568,Long Jump,1956,M,2,Silver,John Bennett,USA,NaN,7.68
569,Long Jump,1956,M,3,Bronze,Jorma Valkama,FIN,NaN,7.48
570,Triple Jump,1956,M,1,Gold,Adhemar da Silva,BRA,NaN,16.35
571,Triple Jump,1956,M,2,Silver,VilhjÃ¡lmur Einarsson,ISL,NaN,16.26
572,Triple Jump,1956,M,3,Bronze,Vitold Kreyer,URS,NaN,16.02
573,Shot Put,1956,M,1,Gold,Parry O'Brien,USA,NaN,18.57
574,Shot Put,1956,M,2,Silver,Bill Nieder,USA,NaN,18.18
575,Shot Put,1956,M,3,Bronze,JiÅÃ­ Skobla,TCH,NaN,17.65
576,Discus Throw,1956,M,1,Gold,Al Oerter,USA,NaN,56.36
577,Discus Throw,1956,M,2,Silver,Fortune Gordien,USA,NaN,54.81
578,Discus Throw,1956,M,3,Bronze,Des Koch,USA,NaN,54.40
579,Hammer Throw,1956,M,1,Gold,Hal Connolly,USA,NaN,63.19
580,Hammer Throw,1956,M,2,Silver,Mikhail Krivonosov,URS,NaN,63.03
581,Hammer Throw,1956,M,3,Bronze,Anatoly Samotsvetov,URS,NaN,62.56
582,Javelin Throw,1956,M,1,Gold,Egil Danielsen,NOR,NaN,85.71
583,Javelin Throw,1956,M,2,Silver,Janusz SidÅo,POL,NaN,79.98
584,Javelin Throw,1956,M,3,Bronze,Viktor Tsybulenko,URS,NaN,79.50
585,100 metres,1956,F,1,Gold,Betty Cuthbert,AUS,11.5,NaN
586,100 metres,1956,F,2,Silver,Christa Stubnick,GER,11.7,NaN
587,100 metres,1956,F,3,Bronze,Marlene Mathews,AUS,11.7,NaN
588,200 metres,1956,F,1,Gold,Betty Cuthbert,AUS,23.4,NaN
589,200 metres,1956,F,2,Silver,Christa Stubnick,GER,23.7,NaN
590,200 metres,1956,F,3,Bronze,Marlene Mathews,AUS,23.8,NaN
591,Long Jump,1956,F,1,Gold,ElÅ¼bieta KrzesiÅska,POL,NaN,6.35
592,Long Jump,1956,F,2,Silver,Willye White,USA,NaN,6.09
593,Long Jump,1956,F,3,Bronze,Nadezhda Dvalishvili,URS,NaN,6.07
594,Shot Put,1956,F,1,Gold,Tamara Tyshkevich,URS,NaN,16.59
595,Shot Put,1956,F,2,Silver,Galina Zybina,URS,NaN,16.53
596,Shot Put,1956,F,3,Bronze,Marianne Werner,GER,NaN,15.61
