Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
3,Satymkul Dzhumanazarov,URS,,Bronze,Marathon,M,1980,2-11:35,,,
1,Thomas Munkelt,GDR,13.39 (1),Gold,110 metres Hurdles,M,1980,,,,
2,Alejandro CasaÃ±as,CUB,13.40 (2),Silver,110 metres Hurdles,M,1980,,,,
3,Aleksandr Puchkov,URS,13.44 (3),Bronze,110 metres Hurdles,M,1980,,,,
1,Volker Beck,GDR,48.70 (1),Gold,400 metres Hurdles,M,1980,,,,
2,Vasily Arkhipenko,URS,48.86 (2),Silver,400 metres Hurdles,M,1980,,,,
3,Gary Oakes,GBR,49.11 (3),Bronze,400 metres Hurdles,M,1980,,,,
1,BronisÅaw Malinowski,POL,8:09.7 (1),Gold,"3,000 metres Steeplechase",M,1980,,,,
2,Filbert Bayi,TAN,8:12.5 (2),Silver,"3,000 metres Steeplechase",M,1980,,,,
3,Eshetu Tura,ETH,8:13.6 (3),Bronze,"3,000 metres Steeplechase",M,1980,,,,
1,,ITA,,Gold,20 kilometres Walk,M,1980,1-23:35.5,,,
2,,URS,,Silver,20 kilometres Walk,M,1980,1-24:45.4,,,
3,,GDR,,Bronze,20 kilometres Walk,M,1980,1-25:58.2,,,
1,,GDR,,Gold,50 kilometres Walk,M,1980,3-49:24,,,
2,,ESP,,Silver,50 kilometres Walk,M,1980,3-51:25,,,
3,,URS,,Bronze,50 kilometres Walk,M,1980,3-56:32,,,
1,Gerd Wessig,GDR,,Gold,High Jump,M,1980,,,,
2,Jacek WszoÅa,POL,,Silver,High Jump,M,1980,,,,
3,JÃ¶rg Freimuth,GDR,,Bronze,High Jump,M,1980,,,,
1,WÅadysÅaw Kozakiewicz,POL,,Gold,Pole Vault,M,1980,,,,
=2,Tadeusz Ålusarski,POL,,Silver,Pole Vault,M,1980,,,,
=2,Konstantin Volkov,URS,,Silver,Pole Vault,M,1980,,,,
1,Lutz Dombrowski,GDR,8.54 (1),Gold,Long Jump,M,1980,,,,
2,Frank Paschek,GDR,8.21 (2),Silver,Long Jump,M,1980,,,,
3,Valery Podluzhny,URS,8.18 (3),Bronze,Long Jump,M,1980,,,,
1,Jaak UudmÃ¤e,URS,17.35 (1),Gold,Triple Jump,M,1980,,,,
2,Viktor Saneyev,URS,17.24 (2),Silver,Triple Jump,M,1980,,,,
3,JoÃ£o do Pulo,BRA,17.22 (3),Bronze,Triple Jump,M,1980,,,,
1,Vladimir Kiselyov,URS,21.35 (1),Gold,Shot Put,M,1980,,,,
2,Aleksandr Baryshnikov,URS,21.08 (2),Silver,Shot Put,M,1980,,,,
3,Udo Beyer,GDR,21.06 (3),Bronze,Shot Put,M,1980,,,,
1,Viktor Rashchupkin,URS,66.64 (1),Gold,Discus Throw,M,1980,,,,
2,Imrich BugÃ¡r,TCH,66.38 (2),Silver,Discus Throw,M,1980,,,,
3,Luis DelÃ­s,CUB,66.32 (3),Bronze,Discus Throw,M,1980,,,,
1,Yury Sedykh,URS,81.80 (1),Gold,Hammer Throw,M,1980,,,,
2,Sergey Litvinov,URS,80.64 (2),Silver,Hammer Throw,M,1980,,,,
3,JÃ¼ri Tamm,URS,78.96 (3),Bronze,Hammer Throw,M,1980,,,,
1,Dainis KÅ«la,URS,91.20 (1),Gold,Javelin Throw,M,1980,,,,
2,Aleksandr Makarov,URS,89.64 (2),Silver,Javelin Throw,M,1980,,,,
3,Wolfgang Hanisch,GDR,86.72 (3),Bronze,Javelin Throw,M,1980,,,,
1,Lyudmila Kondratyeva,URS,11.06 (1),Gold,100 metres,F,1980,,,,
2,Marlies GÃ¶hr,GDR,11.07 (2),Silver,100 metres,F,1980,,,,
3,Ingrid Auerswald,GDR,11.14 (3),Bronze,100 metres,F,1980,,,,
1,BÃ¤rbel WÃ¶ckel,GDR,22.03 (1),Gold,200 metres,F,1980,,,,
2,Nataliya Bochina,URS,22.19 (2),Silver,200 metres,F,1980,,,,
3,Merlene Ottey,JAM,22.20 (3),Bronze,200 metres,F,1980,,,,
1,Marita Koch,GDR,48.88 (1),Gold,400 metres,F,1980,,,,
2,Jarmila KratochvÃ­lovÃ¡,TCH,49.46 (2),Silver,400 metres,F,1980,,,,
3,Christina Lathan,GDR,49.66 (3),Bronze,400 metres,F,1980,,,,
1,Nadezhda Olizarenko,URS,1:53.5 (1),Gold,800 metres,F,1980,,,,
2,Olga Syrovatskaya-Mineyeva,URS,1:54.9 (2),Silver,800 metres,F,1980,,,,
3,Tatyana Providokhina,URS,1:55.5 (3),Bronze,800 metres,F,1980,,,,
1,Tatyana Kazankina,URS,3:56.6 (1),Gold,"1,500 metres",F,1980,,,,
2,Christiane Wartenberg,GDR,3:57.8 (2),Silver,"1,500 metres",F,1980,,,,
3,Nadezhda Olizarenko,URS,3:59.6 (3),Bronze,"1,500 metres",F,1980,,,,
1,Vera Komisova,URS,12.56 (1),Gold,100 metres Hurdles,F,1980,,,,
2,Johanna Klier,GDR,12.63 (2),Silver,100 metres Hurdles,F,1980,,,,
3,Lucyna Langer,POL,12.65 (3),Bronze,100 metres Hurdles,F,1980,,,,
1,Sara Simeoni,ITA,,Gold,High Jump,F,1980,,,,
2,Urszula Kielan,POL,,Silver,High Jump,F,1980,,,,
3,Jutta Kirst,GDR,,Bronze,High Jump,F,1980,,,,
1,Tatyana Kolpakova,URS,7.06 (1),Gold,Long Jump,F,1980,,,,
2,Brigitte Wujak,GDR,7.04 (2),Silver,Long Jump,F,1980,,,,
3,Tatyana Skachko,URS,7.01 (3),Bronze,Long Jump,F,1980,,,,
1,Ilona Slupianek,GDR,,Gold,Shot Put,F,1980,,,22.41,
2,Esfir Krachevskaya,URS,,Silver,Shot Put,F,1980,,,21.42,
3,Margitta Pufe,GDR,,Bronze,Shot Put,F,1980,,,21.2,
1,Evelin Jahl,GDR,69.96 (1),Gold,Discus Throw,F,1980,,,,
2,Mariya Petkova,BUL,67.90 (2),Silver,Discus Throw,F,1980,,,,
3,Tatyana Lesovaya,URS,67.40 (3),Bronze,Discus Throw,F,1980,,,,
1,MarÃ­a ColÃ³n,CUB,68.40 (1),Gold,Javelin Throw,F,1980,,,,
2,Saida Gunba,URS,67.76 (2),Silver,Javelin Throw,F,1980,,,,
3,Ute Hommola,GDR,66.56 (3),Bronze,Javelin Throw,F,1980,,,,
1,Carl Lewis,USA,9.99 (1),Gold,100 metres,M,1984,,,,
2,Sam Graddy,USA,10.19 (2),Silver,100 metres,M,1984,,,,
3,Ben Johnson,CAN,10.22 (3),Bronze,100 metres,M,1984,,,,
1,Carl Lewis,USA,19.80 (1),Gold,200 metres,M,1984,,,,
2,Kirk Baptiste,USA,19.96 (2),Silver,200 metres,M,1984,,,,
3,Thomas Jefferson,USA,20.26 (3),Bronze,200 metres,M,1984,,,,
1,Alonzo Babers,USA,44.27 (1),Gold,400 metres,M,1984,,,,
2,Gabriel Tiacoh,CIV,44.54 (2),Silver,400 metres,M,1984,,,,
3,Antonio McKay,USA,44.71 (3),Bronze,400 metres,M,1984,,,,
1,Joaquim Cruz,BRA,1:43.00 (1),Gold,800 metres,M,1984,,,,
2,Seb Coe,GBR,1:43.64 (2),Silver,800 metres,M,1984,,,,
3,Earl Jones,USA,1:43.83 (3),Bronze,800 metres,M,1984,,,,
1,Seb Coe,GBR,3:32.53 (1),Gold,"1,500 metres",M,1984,,,,
2,Steve Cram,GBR,3:33.40 (2),Silver,"1,500 metres",M,1984,,,,
3,JosÃ© Manuel Abascal,ESP,3:34.30 (3),Bronze,"1,500 metres",M,1984,,,,
1,SaÃ¯d Aouita,MAR,13:05.59 (1),Gold,"5,000 metres",M,1984,,,,
2,Markus Ryffel,SUI,13:07.54 (2),Silver,"5,000 metres",M,1984,,,,
3,AntÃ³nio LeitÃ£o,POR,13:09.20 (3),Bronze,"5,000 metres",M,1984,,,,
1,Alberto Cova,ITA,27:47.54 (1),Gold,"10,000 metres",M,1984,,,,
2,Mike McLeod,GBR,28:06.22 (2),Silver,"10,000 metres",M,1984,,,,
3,Mike Musyoki,KEN,28:06.46 (3),Bronze,"10,000 metres",M,1984,,,,
1,Carlos Lopes,POR,,Gold,Marathon,M,1984,2-09:21,,,
2,John Treacy,IRL,,Silver,Marathon,M,1984,2-09:56,,,
3,Charlie Spedding,GBR,,Bronze,Marathon,M,1984,2-09:58,,,
1,Roger Kingdom,USA,13.20 (1),Gold,110 metres Hurdles,M,1984,,,,
2,Greg Foster,USA,13.23 (2),Silver,110 metres Hurdles,M,1984,,,,
3,Arto Bryggare,FIN,13.40 (3),Bronze,110 metres Hurdles,M,1984,,,,
1,Edwin Moses,USA,47.75 (1),Gold,400 metres Hurdles,M,1984,,,,
2,Danny Harris,USA,48.13 (2),Silver,400 metres Hurdles,M,1984,,,,
3,Harald Schmid,FRG,48.19 (3),Bronze,400 metres Hurdles,M,1984,,,,
1,Julius Korir,KEN,8:11.80 (1),Gold,"3,000 metres Steeplechase",M,1984,,,,
2,Joseph Mahmoud,FRA,8:13.31 (2),Silver,"3,000 metres Steeplechase",M,1984,,,,
3,Brian Diemer,USA,8:14.06 (3),Bronze,"3,000 metres Steeplechase",M,1984,,,,
1,,MEX,,Gold,20 kilometres Walk,M,1984,1-23:13,,,
2,,MEX,,Silver,20 kilometres Walk,M,1984,1-23:20,,,
3,,ITA,,Bronze,20 kilometres Walk,M,1984,1-23:26,,,
1,,MEX,,Gold,50 kilometres Walk,M,1984,3-47:26,,,
2,,SWE,,Silver,50 kilometres Walk,M,1984,3-53:19,,,
3,,ITA,,Bronze,50 kilometres Walk,M,1984,3-53:45,,,
1,Dietmar MÃ¶genburg,FRG,,Gold,High Jump,M,1984,,,,
2,Patrik SjÃ¶berg,SWE,,Silver,High Jump,M,1984,,,,
3,Zhu Jianhua,CHN,,Bronze,High Jump,M,1984,,,,
1,Pierre Quinon,FRA,,Gold,Pole Vault,M,1984,,,,
2,Mike Tully,USA,,Silver,Pole Vault,M,1984,,,,
=3,Thierry Vigneron,FRA,,Bronze,Pole Vault,M,1984,,,,
=3,Earl Bell,USA,,Bronze,Pole Vault,M,1984,,,,
1,Carl Lewis,USA,8.54 (1),Gold,Long Jump,M,1984,,,,
2,Gary Honey,AUS,8.24 (2),Silver,Long Jump,M,1984,,,,
3,Giovanni Evangelisti,ITA,8.24 (3),Bronze,Long Jump,M,1984,,,,
1,Al Joyner,USA,17.26w (1),Gold,Triple Jump,M,1984,,,,
2,Mike Conley,USA,17.18 (2),Silver,Triple Jump,M,1984,,,,
3,Keith Connor,GBR,16.87 (3),Bronze,Triple Jump,M,1984,,,,
1,Alessandro Andrei,ITA,21.26 (1),Gold,Shot Put,M,1984,,,,
2,Mike Carter,USA,21.09 (2),Silver,Shot Put,M,1984,,,,
3,Dave Laut,USA,20.97 (3),Bronze,Shot Put,M,1984,,,,
1,Rolf Danneberg,FRG,66.60 (1),Gold,Discus Throw,M,1984,,,,
2,Mac Wilkins,USA,66.30 (2),Silver,Discus Throw,M,1984,,,,
3,John Powell,USA,65.46 (3),Bronze,Discus Throw,M,1984,,,,
1,Juha Tiainen,FIN,78.08 (1),Gold,Hammer Throw,M,1984,,,,
2,Karl-Hans Riehm,FRG,77.98 (2),Silver,Hammer Throw,M,1984,,,,
3,Klaus Ploghaus,FRG,76.68 (3),Bronze,Hammer Throw,M,1984,,,,
1,Arto HÃ¤rkÃ¶nen,FIN,86.76 (1),Gold,Javelin Throw,M,1984,,,,
2,Dave Ottley,GBR,85.74 (2),Silver,Javelin Throw,M,1984,,,,
3,Kenth Eldebrink,SWE,83.72 (3),Bronze,Javelin Throw,M,1984,,,,
1,Evelyn Ashford,USA,10.97 (1),Gold,100 metres,F,1984,,,,
2,Alice Brown,USA,11.13 (2),Silver,100 metres,F,1984,,,,
3,Merlene Ottey-Page,JAM,11.16 (3),Bronze,100 metres,F,1984,,,,
1,Valerie Brisco-Hooks,USA,21.81 (1),Gold,200 metres,F,1984,,,,
2,Florence Griffith,USA,22.04 (2),Silver,200 metres,F,1984,,,,
3,Merlene Ottey-Page,JAM,22.09 (3),Bronze,200 metres,F,1984,,,,
1,Valerie Brisco-Hooks,USA,48.83 (1),Gold,400 metres,F,1984,,,,
2,Chandra Cheeseborough,USA,49.05 (2),Silver,400 metres,F,1984,,,,
3,Kathy Cook,GBR,49.43 (3),Bronze,400 metres,F,1984,,,,
1,Doina Melinte,ROU,1:57.60 (1),Gold,800 metres,F,1984,,,,
2,Kim Gallagher,USA,1:58.63 (2),Silver,800 metres,F,1984,,,,
3,FiÈa Lovin,ROU,1:58.83 (3),Bronze,800 metres,F,1984,,,,
1,Gabriella Dorio,ITA,4:03.25 (1),Gold,"1,500 metres",F,1984,,,,
2,Doina Melinte,ROU,4:03.76 (2),Silver,"1,500 metres",F,1984,,,,
3,Maricica PuicÄ,ROU,4:04.15 (3),Bronze,"1,500 metres",F,1984,,,,
1,Maricica PuicÄ,ROU,8:35.96 (1),Gold,"3,000 metres",F,1984,,,,
2,Wendy Sly,GBR,8:39.47 (2),Silver,"3,000 metres",F,1984,,,,
3,Lynn Williams,CAN,8:42.14 (3),Bronze,"3,000 metres",F,1984,,,,
1,Joan Benoit,USA,,Gold,Marathon,F,1984,2-24:52,,,
2,Grete Waitz,NOR,,Silver,Marathon,F,1984,2-26:18,,,
3,Rosa Mota,POR,,Bronze,Marathon,F,1984,2-26:57,,,
1,Benita Fitzgerald-Brown,USA,12.84 (1),Gold,100 metres Hurdles,F,1984,,,,
2,Shirley Strong,GBR,12.88 (2),Silver,100 metres Hurdles,F,1984,,,,
=3,MichÃ¨le Chardonnet,FRA,13.06 (=3),Bronze,100 metres Hurdles,F,1984,,,,
=3,Kim Turner,USA,13.06 (=3),Bronze,100 metres Hurdles,F,1984,,,,
1,Nawal El-Moutawakel,MAR,54.61 (1),Gold,400 metres Hurdles,F,1984,,,,
2,Judi Brown,USA,55.20 (2),Silver,400 metres Hurdles,F,1984,,,,
3,Cristieana Cojocaru,ROU,55.41 (3),Bronze,400 metres Hurdles,F,1984,,,,
1,Ulrike Meyfarth,FRG,,Gold,High Jump,F,1984,,,,
2,Sara Simeoni,ITA,,Silver,High Jump,F,1984,,,,
3,Joni Huntley,USA,,Bronze,High Jump,F,1984,,,,
1,AniÈoara Stanciu-CuÈmir,ROU,6.96 (1),Gold,Long Jump,F,1984,,,,
2,Valy Ionescu,ROU,6.81 (2),Silver,Long Jump,F,1984,,,,
3,Sue Hearnshaw,GBR,6.80w (3),Bronze,Long Jump,F,1984,,,,
1,Claudia Losch,FRG,,Gold,Shot Put,F,1984,,,20.48,
2,Mihaela Loghin,ROU,,Silver,Shot Put,F,1984,,,20.47,
3,Gael Martin,AUS,,Bronze,Shot Put,F,1984,,,19.19,
1,Ria Stalman,NED,65.36 (1),Gold,Discus Throw,F,1984,,,,
2,Leslie Deniz,USA,64.86 (2),Silver,Discus Throw,F,1984,,,,
3,FlorenÅ£a CrÄciunescu,ROU,63.64 (3),Bronze,Discus Throw,F,1984,,,,
1,Tessa Sanderson,GBR,69.56 (1),Gold,Javelin Throw,F,1984,,,,
2,Tiina Lillak,FIN,69.00 (2),Silver,Javelin Throw,F,1984,,,,
3,Fatima Whitbread,GBR,67.14 (3),Bronze,Javelin Throw,F,1984,,,,
1,Carl Lewis,USA,9.92 (1),Gold,100 metres,M,1988,,,,
2,Linford Christie,GBR,9.97 (2),Silver,100 metres,M,1988,,,,
3,Calvin Smith,USA,9.99 (3),Bronze,100 metres,M,1988,,,,
1,Joe DeLoach,USA,19.75 (1),Gold,200 metres,M,1988,,,,
2,Carl Lewis,USA,19.79 (2),Silver,200 metres,M,1988,,,,
3,RÃ³bson Caetano da Silva,BRA,20.04 (3),Bronze,200 metres,M,1988,,,,
1,Steve Lewis,USA,43.87 (1),Gold,400 metres,M,1988,,,,
2,Butch Reynolds,USA,43.93 (2),Silver,400 metres,M,1988,,,,
3,Danny Everett,USA,44.09 (3),Bronze,400 metres,M,1988,,,,
1,Paul Ereng,KEN,1:43.45 (1),Gold,800 metres,M,1988,,,,
2,Joaquim Cruz,BRA,1:43.90 (2),Silver,800 metres,M,1988,,,,
3,SaÃ¯d Aouita,MAR,1:44.06 (3),Bronze,800 metres,M,1988,,,,
1,Peter Rono,KEN,3:35.96 (1),Gold,"1,500 metres",M,1988,,,,
2,Peter Elliott,GBR,3:36.15 (2),Silver,"1,500 metres",M,1988,,,,
3,Jens-Peter Herold,GDR,3:36.21 (3),Bronze,"1,500 metres",M,1988,,,,
1,John Ngugi,KEN,13:11.70 (1),Gold,"5,000 metres",M,1988,,,,
2,Dieter Baumann,FRG,13:15.52 (2),Silver,"5,000 metres",M,1988,,,,
3,HansjÃ¶rg Kunze,GDR,13:15.73 (3),Bronze,"5,000 metres",M,1988,,,,
1,Brahim Boutayeb,MAR,27:21.46 (1),Gold,"10,000 metres",M,1988,,,,
2,Salvatore Antibo,ITA,27:23.55 (2),Silver,"10,000 metres",M,1988,,,,
3,Kipkemboi Kimeli,KEN,27:25.16 (3),Bronze,"10,000 metres",M,1988,,,,
1,Gelindo Bordin,ITA,,Gold,Marathon,M,1988,2-10:32,,,
2,Douglas Wakiihuri,KEN,,Silver,Marathon,M,1988,2-10:47,,,
3,Ahmed Salah,DJI,,Bronze,Marathon,M,1988,2-10:59,,,
1,Roger Kingdom,USA,12.98 (1),Gold,110 metres Hurdles,M,1988,,,,
2,Colin Jackson,GBR,13.28 (2),Silver,110 metres Hurdles,M,1988,,,,
3,Tonie Campbell,USA,13.38 (3),Bronze,110 metres Hurdles,M,1988,,,,
1,AndrÃ© Phillips,USA,47.19 (1),Gold,400 metres Hurdles,M,1988,,,,
2,Amadou Dia BÃ¢,SEN,47.23 (2),Silver,400 metres Hurdles,M,1988,,,,
3,Edwin Moses,USA,47.56 (3),Bronze,400 metres Hurdles,M,1988,,,,
1,Julius Kariuki,KEN,8:05.51 (1),Gold,"3,000 metres Steeplechase",M,1988,,,,
2,Peter Koech,KEN,8:06.79 (2),Silver,"3,000 metres Steeplechase",M,1988,,,,
3,Mark Rowland,GBR,8:07.96 (3),Bronze,"3,000 metres Steeplechase",M,1988,,,,
1,,TCH,,Gold,20 kilometres Walk,M,1988,1-19:57,,,
2,,GDR,,Silver,20 kilometres Walk,M,1988,1-20:00,,,
3,,ITA,,Bronze,20 kilometres Walk,M,1988,1-20:14,,,
1,,URS,,Gold,50 kilometres Walk,M,1988,3-38:29,,,
2,,GDR,,Silver,50 kilometres Walk,M,1988,3-38:56,,,
3,,GDR,,Bronze,50 kilometres Walk,M,1988,3-39:45,,,
1,Gennady Avdeyenko,URS,,Gold,High Jump,M,1988,,,,
2,Hollis Conway,USA,,Silver,High Jump,M,1988,,,,
=3,Patrik SjÃ¶berg,SWE,,Bronze,High Jump,M,1988,,,,
=3,Rudolf Povarnitsyn,URS,,Bronze,High Jump,M,1988,,,,
1,Sergey Bubka,URS,,Gold,Pole Vault,M,1988,,,,
2,Rodion Gataullin,URS,,Silver,Pole Vault,M,1988,,,,
3,Grigory Yegorov,URS,,Bronze,Pole Vault,M,1988,,,,
1,Carl Lewis,USA,8.72 (1),Gold,Long Jump,M,1988,,,,
2,Mike Powell,USA,8.49 (2),Silver,Long Jump,M,1988,,,,
3,Larry Myricks,USA,8.27 (3),Bronze,Long Jump,M,1988,,,,
1,Hristo Markov,BUL,17.61 (1),Gold,Triple Jump,M,1988,,,,
2,Igor Lapshin,URS,17.52 (2),Silver,Triple Jump,M,1988,,,,
3,Aleksandr Kovalenko,URS,17.42 (3),Bronze,Triple Jump,M,1988,,,,
1,Ulf Timmermann,GDR,22.47 (1),Gold,Shot Put,M,1988,,,,
2,Randy Barnes,USA,22.39 (2),Silver,Shot Put,M,1988,,,,
3,Werner GÃ¼nthÃ¶r,SUI,21.99 (3),Bronze,Shot Put,M,1988,,,,
1,JÃ¼rgen Schult,GDR,68.82 (1),Gold,Discus Throw,M,1988,,,,
2,Romas Ubartas,URS,67.48 (2),Silver,Discus Throw,M,1988,,,,
3,Rolf Danneberg,FRG,67.38 (3),Bronze,Discus Throw,M,1988,,,,
1,Sergey Litvinov,URS,84.80 (1),Gold,Hammer Throw,M,1988,,,,
2,Yury Sedykh,URS,83.76 (2),Silver,Hammer Throw,M,1988,,,,
3,JÃ¼ri Tamm,URS,81.16 (3),Bronze,Hammer Throw,M,1988,,,,
1,Tapio Korjus,FIN,84.28 (1),Gold,Javelin Throw,M,1988,,,,
2,Jan Å½eleznÃ½,TCH,84.12 (2),Silver,Javelin Throw,M,1988,,,,
3,Seppo RÃ¤ty,FIN,83.26 (3),Bronze,Javelin Throw,M,1988,,,,
1,Florence Griffith Joyner,USA,10.54w (1),Gold,100 metres,F,1988,,,,
2,Evelyn Ashford,USA,10.83w (2),Silver,100 metres,F,1988,,,,
3,Heike Drechsler,GDR,10.85w (3),Bronze,100 metres,F,1988,,,,
1,Florence Griffith Joyner,USA,21.34 (1),Gold,200 metres,F,1988,,,,
2,Grace Jackson,JAM,21.72 (2),Silver,200 metres,F,1988,,,,
3,Heike Drechsler,GDR,21.95 (3),Bronze,200 metres,F,1988,,,,
1,Olga Bryzgina,URS,48.65 (1),Gold,400 metres,F,1988,,,,
2,Petra MÃ¼ller,GDR,49.45 (2),Silver,400 metres,F,1988,,,,
3,Olga Nazarova,URS,49.90 (3),Bronze,400 metres,F,1988,,,,
1,Sigrun Wodars,GDR,1:56.10 (1),Gold,800 metres,F,1988,,,,
2,Christine Wachtel,GDR,1:56.64 (2),Silver,800 metres,F,1988,,,,
3,Kim Gallagher,USA,1:56.91 (3),Bronze,800 metres,F,1988,,,,
1,Paula Ivan,ROU,3:53.96 (1),Gold,"1,500 metres",F,1988,,,,
2,LaimutÄ BaikauskaitÄ,URS,4:00.24 (2),Silver,"1,500 metres",F,1988,,,,
3,Tetiana Samolenko,URS,4:00.30 (3),Bronze,"1,500 metres",F,1988,,,,
1,Tetiana Samolenko,URS,8:26.53 (1),Gold,"3,000 metres",F,1988,,,,
2,Paula Ivan,ROU,8:27.15 (2),Silver,"3,000 metres",F,1988,,,,
3,Yvonne Murray,GBR,8:29.02 (3),Bronze,"3,000 metres",F,1988,,,,
1,Olga Bondarenko,URS,31:05.21 (1),Gold,"10,000 metres",F,1988,,,,
2,Liz McColgan,GBR,31:08.44 (2),Silver,"10,000 metres",F,1988,,,,
3,Yelena Zhupiyeva,URS,31:19.82 (3),Bronze,"10,000 metres",F,1988,,,,
1,Rosa Mota,POR,,Gold,Marathon,F,1988,2-25:40,,,
2,Lisa Martin,AUS,,Silver,Marathon,F,1988,2-25:53,,,
3,Katrin DÃ¶rre,GDR,,Bronze,Marathon,F,1988,2-26:21,,,
1,Yordanka Donkova,BUL,12.38 (1),Gold,100 metres Hurdles,F,1988,,,,
2,Gloria Siebert,GDR,12.61 (2),Silver,100 metres Hurdles,F,1988,,,,
3,Claudia Zaczkiewicz,FRG,12.75 (3),Bronze,100 metres Hurdles,F,1988,,,,
1,Debbie Flintoff-King,AUS,53.17 (1),Gold,400 metres Hurdles,F,1988,,,,
2,Tatsiana Ledauskaya,URS,53.18 (2),Silver,400 metres Hurdles,F,1988,,,,
3,Ellen Fiedler,GDR,53.63 (3),Bronze,400 metres Hurdles,F,1988,,,,
1,Louise Ritter,USA,,Gold,High Jump,F,1988,,,,
2,Stefka Kostadinova,BUL,,Silver,High Jump,F,1988,,,,
3,Tamara Bykova,URS,,Bronze,High Jump,F,1988,,,,
1,Jackie Joyner-Kersee,USA,7.40 (1),Gold,Long Jump,F,1988,,,,
2,Heike Drechsler,GDR,7.22 (2),Silver,Long Jump,F,1988,,,,
3,Halyna Chystiakova,URS,7.11 (3),Bronze,Long Jump,F,1988,,,,
1,Nataliya Lisovskaya,URS,22.24 (1),Gold,Shot Put,F,1988,,,,
2,Kathrin Neimke,GDR,21.07 (2),Silver,Shot Put,F,1988,,,,
3,Li Meisu,CHN,21.06 (3),Bronze,Shot Put,F,1988,,,,
1,Martina Hellmann,GDR,72.30 (1),Gold,Discus Throw,F,1988,,,,
2,Diana Gansky,GDR,71.88 (2),Silver,Discus Throw,F,1988,,,,
3,Tsvetanka Hristova,BUL,69.74 (3),Bronze,Discus Throw,F,1988,,,,
1,Petra Felke,GDR,74.68 (1),Gold,Javelin Throw,F,1988,,,,
2,Fatima Whitbread,GBR,70.32 (2),Silver,Javelin Throw,F,1988,,,,
3,Beate Koch,GDR,67.30 (3),Bronze,Javelin Throw,F,1988,,,,
1,Linford Christie,GBR,9.96 (1),Gold,100 metres,M,1992,,,,
2,Frankie Fredericks,NAM,10.02 (2),Silver,100 metres,M,1992,,,,
3,Dennis Mitchell,USA,10.04 (3),Bronze,100 metres,M,1992,,,,
1,Mike Marsh,USA,20.01 (1),Gold,200 metres,M,1992,,,,
2,Frankie Fredericks,NAM,20.13 (2),Silver,200 metres,M,1992,,,,
3,Michael Bates,USA,20.38 (3),Bronze,200 metres,M,1992,,,,
1,Quincy Watts,USA,43.50 (1),Gold,400 metres,M,1992,,,,
2,Steve Lewis,USA,44.21 (2),Silver,400 metres,M,1992,,,,
3,Samson Kitur,KEN,44.24 (3),Bronze,400 metres,M,1992,,,,
1,William Tanui,KEN,1:43.66 (1),Gold,800 metres,M,1992,,,,
2,Nixon Kiprotich,KEN,1:43.70 (2),Silver,800 metres,M,1992,,,,
3,Johnny Gray,USA,1:43.97 (3),Bronze,800 metres,M,1992,,,,
1,FermÃ­n Cacho,ESP,3:40.12 (1),Gold,"1,500 metres",M,1992,,,,
2,Rachid El-Basir,MAR,3:40.62 (2),Silver,"1,500 metres",M,1992,,,,
3,Mohamed Suleiman,QAT,3:40.69 (3),Bronze,"1,500 metres",M,1992,,,,
1,Dieter Baumann,GER,13:12.52 (1),Gold,"5,000 metres",M,1992,,,,
2,Paul Bitok,KEN,13:12.71 (2),Silver,"5,000 metres",M,1992,,,,
3,Fita Bayissa,ETH,13:13.03 (3),Bronze,"5,000 metres",M,1992,,,,
1,Khalid Skah,MAR,27:46.70 (1),Gold,"10,000 metres",M,1992,,,,
2,Richard Chelimo,KEN,27:47.72 (2),Silver,"10,000 metres",M,1992,,,,
3,Addis Abebe,ETH,28:00.07 (3),Bronze,"10,000 metres",M,1992,,,,
1,Hwang Yeong-Jo,KOR,,Gold,Marathon,M,1992,2-13:23,,,
2,Koichi Morishita,JPN,,Silver,Marathon,M,1992,2-13:45,,,
3,Stephan Freigang,GER,,Bronze,Marathon,M,1992,2-14:00,,,
1,Mark McKoy,CAN,13.12 (1),Gold,110 metres Hurdles,M,1992,,,,
2,Tony Dees,USA,13.24 (2),Silver,110 metres Hurdles,M,1992,,,,
3,Jack Pierce,USA,13.26 (3),Bronze,110 metres Hurdles,M,1992,,,,
1,Kevin Young,USA,46.78 (1),Gold,400 metres Hurdles,M,1992,,,,
2,Winthrop Graham,JAM,47.66 (2),Silver,400 metres Hurdles,M,1992,,,,
3,Kriss Akabusi,GBR,47.82 (3),Bronze,400 metres Hurdles,M,1992,,,,
1,Matthew Birir,KEN,8:08.84 (1),Gold,"3,000 metres Steeplechase",M,1992,,,,
2,Patrick Sang,KEN,8:09.55 (2),Silver,"3,000 metres Steeplechase",M,1992,,,,
3,William Mutwol,KEN,8:10.74 (3),Bronze,"3,000 metres Steeplechase",M,1992,,,,
1,,ESP,,Gold,20 kilometres Walk,M,1992,1-21:45,,,
2,,CAN,,Silver,20 kilometres Walk,M,1992,1-22:25,,,
3,,ITA,,Bronze,20 kilometres Walk,M,1992,1-23:11,,,
1,,EUN,,Gold,50 kilometres Walk,M,1992,3-50:13,,,
2,,MEX,,Silver,50 kilometres Walk,M,1992,3-52:09,,,
3,,GER,,Bronze,50 kilometres Walk,M,1992,3-53:45,,,
1,Javier Sotomayor,CUB,,Gold,High Jump,M,1992,,,,
