Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
3,Naoto Tajima,JPN,7.74w (3),Bronze,Long Jump,M,1936,,,,
1,Naoto Tajima,JPN,16.00 (1),Gold,Triple Jump,M,1936,,,,
2,Masao Harada,JPN,15.66 (2),Silver,Triple Jump,M,1936,,,,
3,Jack Metcalfe,AUS,15.50 (3),Bronze,Triple Jump,M,1936,,,,
1,Hans Woellke,GER,16.20 (1),Gold,Shot Put,M,1936,,,,
2,Sulo BÃ¤rlund,FIN,16.12 (2),Silver,Shot Put,M,1936,,,,
3,Gerhard StÃ¶ck,GER,15.66 (3),Bronze,Shot Put,M,1936,,,,
1,Ken Carpenter,USA,50.48 (1),Gold,Discus Throw,M,1936,,,,
2,Gordon Dunn,USA,49.36 (2),Silver,Discus Throw,M,1936,,,,
3,Giorgio Oberweger,ITA,49.23 (3),Bronze,Discus Throw,M,1936,,,,
1,Karl Hein,GER,56.49 (1),Gold,Hammer Throw,M,1936,,,,
2,Erwin Blask,GER,55.04 (2),Silver,Hammer Throw,M,1936,,,,
3,Fred WarngÃ¥rd,SWE,54.83 (3),Bronze,Hammer Throw,M,1936,,,,
1,Gerhard StÃ¶ck,GER,71.84 (1),Gold,Javelin Throw,M,1936,,,,
2,YrjÃ¶ Nikkanen,FIN,70.77 (2),Silver,Javelin Throw,M,1936,,,,
3,Kalervo Toivonen,FIN,70.72 (3),Bronze,Javelin Throw,M,1936,,,,
1,Helen Stephens,USA,11.5w (1),Gold,100 metres,F,1936,,,,
2,StanisÅawa Walasiewicz,POL,11.7w (2),Silver,100 metres,F,1936,,,,
3,KÃ¤the KrauÃ,GER,11.9w (3),Bronze,100 metres,F,1936,,,,
1,Ondina Valla,ITA,11.7 (1),Gold,80 metres Hurdles,F,1936,,,,
2,Anni Steuer,GER,11.7 (2),Silver,80 metres Hurdles,F,1936,,,,
3,Betty Taylor,CAN,11.7 (3),Bronze,80 metres Hurdles,F,1936,,,,
1,Ibolya CsÃ¡k,HUN,,Gold,High Jump,F,1936,,1.60,,
2,Dorothy Odam,GBR,,Silver,High Jump,F,1936,,1.60,,
3,Elfriede Kaun,GER,,Bronze,High Jump,F,1936,,1.60,,
1,Gisela Mauermayer,GER,,Gold,Discus Throw,F,1936,,,47.63,
2,Jadwiga Wajs,POL,,Silver,Discus Throw,F,1936,,,46.22,
3,Paula Mollenhauer,GER,,Bronze,Discus Throw,F,1936,,,39.8,
1,Tilly Fleischer,GER,,Gold,Javelin Throw,F,1936,,,45.18,
2,Lies KrÃ¼ger,GER,,Silver,Javelin Throw,F,1936,,,43.29,
3,Maria KwaÅniewska,POL,,Bronze,Javelin Throw,F,1936,,,41.80,
1,Harrison Dillard,USA,10.3 (1),Gold,100 metres,M,1948,,,,
2,Barney Ewell,USA,10.4 (2),Silver,100 metres,M,1948,,,,
3,Lloyd LaBeach,PAN,10.6 (3),Bronze,100 metres,M,1948,,,,
1,Mel Patton,USA,21.1 (1),Gold,200 metres,M,1948,,,,
2,Barney Ewell,USA,21.1 (2),Silver,200 metres,M,1948,,,,
3,Lloyd LaBeach,PAN,21.2 (3),Bronze,200 metres,M,1948,,,,
1,Arthur Wint,JAM,46.2 (1),Gold,400 metres,M,1948,,,,
2,Herb McKenley,JAM,46.4 (2),Silver,400 metres,M,1948,,,,
3,Mal Whitfield,USA,46.9 (3),Bronze,400 metres,M,1948,,,,
1,Mal Whitfield,USA,1:49.2 (1),Gold,800 metres,M,1948,,,,
2,Arthur Wint,JAM,1:49.5 (2),Silver,800 metres,M,1948,,,,
3,Marcel Hansenne,FRA,1:49.8 (3),Bronze,800 metres,M,1948,,,,
1,Henry Eriksson,SWE,3:49.8 (1),Gold,"1,500 metres",M,1948,,,,
2,Lennart Strand,SWE,3:50.4 (2),Silver,"1,500 metres",M,1948,,,,
3,Wim Slijkhuis,NED,3:50.4 (3),Bronze,"1,500 metres",M,1948,,,,
1,Gaston Reiff,BEL,14:17.6 (1),Gold,"5,000 metres",M,1948,,,,
2,Emil ZÃ¡topek,TCH,14:17.8 (2),Silver,"5,000 metres",M,1948,,,,
3,Wim Slijkhuis,NED,14:26.8 (3),Bronze,"5,000 metres",M,1948,,,,
1,Emil ZÃ¡topek,TCH,,Gold,"10,000 metres",M,1948,,,,29:59.6
2,Alain Mimoun,FRA,,Silver,"10,000 metres",M,1948,,,,30:47.4
3,Bertil Albertsson,SWE,,Bronze,"10,000 metres",M,1948,,,,30:53.6
1,Delfo Cabrera,ARG,,Gold,Marathon,M,1948,2-34:51.6,,,
2,Tom Richards,GBR,,Silver,Marathon,M,1948,2-35:07.6,,,
3,Ãtienne Gailly,BEL,,Bronze,Marathon,M,1948,2-35:33.6,,,
1,Bill Porter,USA,13.9 (1),Gold,110 metres Hurdles,M,1948,,,,
2,Clyde Scott,USA,14.1 (2),Silver,110 metres Hurdles,M,1948,,,,
3,Craig Dixon,USA,14.1 (3),Bronze,110 metres Hurdles,M,1948,,,,
1,Roy Cochran,USA,51.1 (1),Gold,400 metres Hurdles,M,1948,,,,
2,Duncan White,SRI,51.8 (2),Silver,400 metres Hurdles,M,1948,,,,
3,Rune Larsson,SWE,52.2 (3),Bronze,400 metres Hurdles,M,1948,,,,
1,Tore SjÃ¶strand,SWE,9:04.6 (1),Gold,"3,000 metres Steeplechase",M,1948,,,,
2,Erik ElmsÃ¤ter,SWE,9:08.2 (2),Silver,"3,000 metres Steeplechase",M,1948,,,,
3,GÃ¶te HagstrÃ¶m,SWE,9:11.8 (3),Bronze,"3,000 metres Steeplechase",M,1948,,,,
1,,SWE,,Gold,10 kilometres Walk,M,1948,,,,
2,,SWE,,Silver,10 kilometres Walk,M,1948,,,,
3,,SUI,,Bronze,10 kilometres Walk,M,1948,,,,
1,,SWE,,Gold,50 kilometres Walk,M,1948,4-41:52,,,
2,,SUI,,Silver,50 kilometres Walk,M,1948,4-48:17,,,
3,,GBR,,Bronze,50 kilometres Walk,M,1948,4-48:31,,,
1,Jack Winter,AUS,,Gold,High Jump,M,1948,,,,
2,BjÃ¸rn Paulson,NOR,,Silver,High Jump,M,1948,,,,
3,George Stanich,USA,,Bronze,High Jump,M,1948,,,,
1,Guinn Smith,USA,,Gold,Pole Vault,M,1948,,,,
2,Erkki Kataja,FIN,,Silver,Pole Vault,M,1948,,,,
3,Bob Richards,USA,,Bronze,Pole Vault,M,1948,,,,
1,Willie Steele,USA,7.825 (1),Gold,Long Jump,M,1948,,,,
2,Bill Bruce,AUS,7.555 (2),Silver,Long Jump,M,1948,,,,
3,Herb Douglas,USA,7.545 (3),Bronze,Long Jump,M,1948,,,,
1,Arne Ãhman,SWE,15.400 (1),Gold,Triple Jump,M,1948,,,,
2,George Avery,AUS,15.365 (2),Silver,Triple Jump,M,1948,,,,
3,Ruhi SarÄ±alp,TUR,15.025 (3),Bronze,Triple Jump,M,1948,,,,
1,Wilbur Thompson,USA,17.120 (1),Gold,Shot Put,M,1948,,,,
2,Jim Delaney,USA,16.680 (2),Silver,Shot Put,M,1948,,,,
3,Jim Fuchs,USA,16.420 (3),Bronze,Shot Put,M,1948,,,,
1,Adolfo Consolini,ITA,52.78 (1),Gold,Discus Throw,M,1948,,,,
2,Giuseppe Tosi,ITA,51.78 (2),Silver,Discus Throw,M,1948,,,,
3,Fortune Gordien,USA,50.77 (3),Bronze,Discus Throw,M,1948,,,,
1,Imre NÃ©meth,HUN,56.07 (1),Gold,Hammer Throw,M,1948,,,,
2,Ivan Gubijan,YUG,54.27 (2),Silver,Hammer Throw,M,1948,,,,
3,Bob Bennett,USA,53.73 (3),Bronze,Hammer Throw,M,1948,,,,
1,Tapio Rautavaara,FIN,69.77 (1),Gold,Javelin Throw,M,1948,,,,
2,Steve Seymour,USA,67.56 (2),Silver,Javelin Throw,M,1948,,,,
3,JÃ³zsef VÃ¡rszegi,HUN,67.03 (3),Bronze,Javelin Throw,M,1948,,,,
1,Fanny Blankers-Koen,NED,11.9 (1),Gold,100 metres,F,1948,,,,
2,Dorothy Manley,GBR,12.2 (2),Silver,100 metres,F,1948,,,,
3,Shirley Strickland,AUS,12.2 (3),Bronze,100 metres,F,1948,,,,
1,Fanny Blankers-Koen,NED,24.4 (1),Gold,200 metres,F,1948,,,,
2,Audrey Williamson,GBR,25.1 (2),Silver,200 metres,F,1948,,,,
4,Mickey Patterson,USA,25.2 (4),Bronze,200 metres,F,1948,,,,
1,Fanny Blankers-Koen,NED,11.2 (1),Gold,80 metres Hurdles,F,1948,,,,
2,Maureen Gardner,GBR,11.2 (2),Silver,80 metres Hurdles,F,1948,,,,
3,Shirley Strickland,AUS,11.4 (3),Bronze,80 metres Hurdles,F,1948,,,,
1,Alice Coachman,USA,,Gold,High Jump,F,1948,,1.68,,
2,Dorothy Tyler,GBR,,Silver,High Jump,F,1948,,1.68,,
3,Micheline Ostermeyer,FRA,,Bronze,High Jump,F,1948,,1.61,,
